Country_x,City,Latitude,Longitude,City_ID,Cloudiness,Country_y,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
qa,khor,25.683889,51.505833,77,100,RU,1558378768,94,47.88,134.96,54.96,7.36
ru,khor,47.886111,134.94638899999998,77,100,RU,1558378768,94,47.88,134.96,54.96,7.36
it,crotone,39.083333,17.133333,78,20,IT,1558378768,67,39.09,17.12,62.6,10.29
np,baglung,28.266666700000002,83.6,79,11,NP,1558378768,58,28.27,83.59,54.24,2.66
nz,raglan,-37.8,174.883333,80,99,NZ,1558378769,53,-37.8,174.87,48.99,1.99
sh,jamestown,-15.933333300000001,-5.7166667,81,84,AU,1558378769,52,-33.21,138.6,54.78,5.86
us,jamestown,42.0969444,-79.2355556,81,84,AU,1558378769,52,-33.21,138.6,54.78,5.86
us,jamestown,46.9105556,-98.7080556,81,84,AU,1558378769,52,-33.21,138.6,54.78,5.86
us,jamestown,41.4969444,-71.3677778,81,84,AU,1558378769,52,-33.21,138.6,54.78,5.86
lb,sur,33.271111100000006,35.196388899999995,82,66,OM,1558378769,57,22.57,59.53,88.26,14.83
om,sur,22.5666667,59.5288889,82,66,OM,1558378769,57,22.57,59.53,88.26,14.83
ml,araouane,18.9,-3.55,83,77,ML,1558378769,18,18.9,-3.53,100.14,15.1
au,emerald,-23.522961,148.157837,84,0,AU,1558378770,82,-23.53,148.16,60.8,6.93
au,launceston,-41.438759000000005,147.134674,85,40,AU,1558378770,93,-41.43,147.14,55.0,14.99
ru,nikolskoye,47.7624,46.4067,86,20,RU,1558378770,56,59.7,30.79,69.01,4.47
ru,nikolskoye,57.808308,41.103322999999996,86,20,RU,1558378770,56,59.7,30.79,69.01,4.47
ru,nikolskoye,59.509167000000005,34.968056,86,20,RU,1558378770,56,59.7,30.79,69.01,4.47
ru,nikolskoye,51.4652,38.8296,86,20,RU,1558378770,56,59.7,30.79,69.01,4.47
ru,nikolskoye,55.193889,165.9925,86,20,RU,1558378770,56,59.7,30.79,69.01,4.47
mg,ambilobe,-13.2,49.05,87,2,MG,1558378770,92,-13.19,49.05,74.76,4.52
br,cidreira,-30.183333,-50.2,88,0,BR,1558378770,66,-30.17,-50.22,76.56,5.5
id,ternate,0.8,127.4,89,20,PH,1558378770,74,14.29,120.72,86.0,1.12
ph,ternate,14.2897,120.7168,89,20,PH,1558378770,74,14.29,120.72,86.0,1.12
br,tarauaca,-8.166667,-70.766667,90,48,BR,1558378771,47,-8.16,-70.77,90.06,1.43
pa,bella vista,7.75,-80.2333333,91,62,AR,1558378771,80,-28.51,-59.05,75.66,7.29
py,bella vista,-22.133333,-56.516667000000005,91,62,AR,1558378771,80,-28.51,-59.05,75.66,7.29
py,bella vista,-27.05,-55.55,91,62,AR,1558378771,80,-28.51,-59.05,75.66,7.29
us,bella vista,36.4813889,-94.27305559999999,91,62,AR,1558378771,80,-28.51,-59.05,75.66,7.29
cn,xichang,27.896421999999998,102.26341500000001,92,19,CN,1558378771,91,27.88,102.25,49.74,2.46
us,antioch,38.005,-121.8047222,93,40,US,1558378507,63,38.0,-121.81,64.99,10.29
us,antioch,42.4772222,-88.0955556,93,40,US,1558378507,63,38.0,-121.81,64.99,10.29
sa,najran,17.466667,44.1,94,75,SA,1558378772,77,17.54,44.22,69.8,11.41
ru,agirish,61.924721999999996,63.023056000000004,95,100,RU,1558378772,88,61.92,63.02,32.82,9.1
pf,mataura,-23.3666667,-149.4666667,96,58,NZ,1558378772,88,-46.19,168.86,48.0,1.99
jp,katsuura,35.133333,140.3,97,90,JP,1558378772,93,33.93,134.5,66.2,5.82
ru,shalinskoye,55.7194,93.7589,98,66,RU,1558378772,63,55.72,93.76,53.7,7.83
us,barrow,71.2905556,-156.7886111,99,100,AR,1558378772,59,-38.31,-60.23,59.64,13.38
id,sorong,-0.883333,131.25,100,95,ID,1558378773,93,-0.86,131.25,77.28,2.01
ca,kingston,44.233333,-76.483333,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
jm,kingston,18.0,-76.8,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
us,kingston,41.9944444,-70.725,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
us,kingston,42.9363889,-71.0538889,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
us,kingston,41.9269444,-73.9977778,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
us,kingston,41.2616667,-75.8972222,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
us,kingston,41.480277799999996,-71.52305559999999,101,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
us,ketchikan,55.34222220000001,-131.6461111,102,1,US,1558378684,76,55.34,-131.65,55.4,17.22
us,kapaa,22.0783333,-159.3219444,103,20,US,1558378773,74,22.08,-159.32,80.6,10.29
ga,mbigou,-1.8833332999999999,11.933333300000001,104,70,GA,1558378773,94,-1.9,11.91,72.6,1.63
cn,yakeshi,49.283333,120.733333,105,100,CN,1558378774,48,49.28,120.73,46.86,20.31
us,hilo,19.729722199999998,-155.09,106,40,US,1558378755,69,19.71,-155.08,79.0,4.7
ca,whitehorse,60.716667,-135.05,107,40,CA,1558378774,36,60.72,-135.06,64.0,3.36
sl,bonthe,7.526388900000001,-12.505,108,63,SL,1558378774,70,7.53,-12.5,85.38,9.78
ph,bara,12.0717,123.6395,109,45,NG,1558378774,25,10.41,10.6,96.54,4.99
ro,bara,47.033333,27.05,109,45,NG,1558378774,25,10.41,10.6,96.54,4.99
sd,bara,13.7,30.366666700000003,109,45,NG,1558378774,25,10.41,10.6,96.54,4.99
us,lompoc,34.639166700000004,-120.45694440000001,110,75,US,1558378662,63,34.64,-120.46,66.99,12.75
in,port blair,11.666667,92.75,111,99,IN,1558378774,71,11.67,92.75,85.2,7.18
za,bredasdorp,-34.532154,20.040308,112,0,ZA,1558378775,62,-34.53,20.04,55.0,8.05
mv,thinadhoo,0.5333333,72.9333333,113,100,MV,1558378775,76,0.53,72.93,85.02,17.0
